city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
,12,123808,13841.49273,2022-03-27,0.0161,1992,894470.0,881935.0,True,722,state,AC
,13,581070,13809.6363,2022-03-27,0.0244,14151,4207714.0,4144597.0,True,739,state,AM
,16,160328,18604.43527,2022-03-27,0.0132,2122,861773.0,845731.0,True,734,state,AP
,29,1530054,10247.74969,2022-03-27,0.0194,29658,14930634.0,14873064.0,True,746,state,BA
,23,1239746,13494.41712,2022-03-27,0.0215,26708,9187103.0,9132078.0,True,728,state,CE
,32,1037188,25521.03172,2022-03-27,0.0138,14323,4064052.0,4018650.0,True,750,state,ES
,52,1269853,17851.21051,2022-03-27,0.0206,26212,7113540.0,7018354.0,True,732,state,GO
,21,424199,5962.37482,2022-03-27,0.0256,10869,7114598.0,7075181.0,True,736,state,MA
,31,3317401,15580.01708,2022-03-27,0.0183,60767,21292666.0,21168791.0,True,745,state,MG
,51,724653,20550.41943,2022-03-27,0.0205,14854,3526220.0,3484466.0,True,734,state,MT
,15,751293,8644.74795,2022-03-27,0.0241,18079,8690745.0,8602865.0,True,740,state,PA
,25,594891,14727.66042,2022-03-27,0.0171,10189,4039277.0,4018127.0,True,738,state,PB
,26,892115,9276.80315,2022-03-27,0.0239,21366,9616621.0,9557071.0,True,746,state,PE
,41,2407960,20908.16578,2022-03-27,0.0178,42896,11516840.0,11433957.0,True,744,state,PR
,33,2078817,11970.48472,2022-03-27,0.035,72695,17366189.0,17264943.0,True,737,state,RJ
,11,391943,21817.5189,2022-03-27,0.0183,7172,1796460.0,1777225.0,True,717,state,RO
,43,2263880,19818.65842,2022-03-27,0.0172,38985,11422973.0,11377239.0,True,732,state,RS
,42,1671175,23042.73753,2022-03-27,0.013,21648,7252502.0,7164788.0,True,746,state,SC
,28,325274,14027.55365,2022-03-27,0.0194,6309,2318822.0,2298696.0,True,733,state,SE
,35,5232374,11303.62799,2022-03-27,0.0319,167110,46289333.0,45919049.0,True,743,state,SP
,12,123777,13838.02699,2022-03-26,0.0161,1992,894470.0,881935.0,False,721,state,AC
,27,295972,8830.91758,2022-03-26,0.0232,6869,3351543.0,3337357.0,True,746,state,AL
,13,581042,13808.97086,2022-03-26,0.0244,14151,4207714.0,4144597.0,False,738,state,AM
,16,160321,18603.623,2022-03-26,0.0132,2122,861773.0,845731.0,False,733,state,AP
,23,1239702,13493.93819,2022-03-26,0.0215,26699,9187103.0,9132078.0,False,727,state,CE
,32,1037086,25518.52191,2022-03-26,0.0138,14323,4064052.0,4018650.0,False,749,state,ES
,52,1269683,17848.8207,2022-03-26,0.0206,26208,7113540.0,7018354.0,False,731,state,GO
,21,424136,5961.48932,2022-03-26,0.0256,10868,7114598.0,7075181.0,False,735,state,MA
,31,3317059,15578.4109,2022-03-26,0.0183,60741,21292666.0,21168791.0,False,744,state,MG
,50,523565,18636.22546,2022-03-26,0.02,10486,2809394.0,2778986.0,True,722,state,MS
,51,724279,20539.81317,2022-03-26,0.0205,14853,3526220.0,3484466.0,False,733,state,MT
